time,frequency
2025-03-16 16:17:03.599,49.0
2025-03-16 16:17:02.472,49.0
2025-03-16 16:17:01.369,49.0
2025-03-16 16:17:00.209,49.0
2025-03-16 16:16:59.082,49.0
2025-03-16 16:16:57.956,49.0
2025-03-16 16:16:56.843,49.0
2025-03-16 16:16:55.721,49.0
2025-03-16 16:16:54.617,49.0
2025-03-16 16:16:53.490,49.0
2025-03-16 16:16:52.378,49.0
2025-03-16 16:16:51.274,49.0
2025-03-16 16:16:50.169,49.0
2025-03-16 16:16:49.007,49.0
2025-03-16 16:16:47.877,49.0
2025-03-16 16:16:46.772,49.0
2025-03-16 16:16:45.670,49.0
2025-03-16 16:16:44.526,49.0
2025-03-16 16:16:43.400,49.0
2025-03-16 16:16:42.274,49.0
2025-03-16 16:16:41.164,49.0
2025-03-16 16:16:40.052,49.0
2025-03-16 16:16:38.936,49.0
2025-03-16 16:16:37.818,49.0
2025-03-16 16:16:36.633,49.0
2025-03-16 16:16:35.468,49.0
2025-03-16 16:16:34.353,49.0
2025-03-16 16:16:33.204,49.0
2025-03-16 16:16:32.098,49.0
2025-03-16 16:16:30.983,49.0
2025-03-16 16:16:29.875,49.0
2025-03-16 16:16:28.782,49.0
2025-03-16 16:16:27.107,49.0
2025-03-16 16:16:25.992,49.0
2025-03-16 16:16:24.870,49.0
2025-03-16 16:16:23.749,49.0
2025-03-16 16:16:22.639,49.0
2025-03-16 16:16:21.491,49.0
2025-03-16 16:16:20.384,49.0
2025-03-16 16:16:19.241,49.0
2025-03-16 16:16:18.126,49.0
2025-03-16 16:16:17.009,49.0
2025-03-16 16:16:15.911,49.0
2025-03-16 16:16:14.811,49.0
2025-03-16 16:16:13.679,49.0
2025-03-16 16:16:12.557,49.0
2025-03-16 16:16:11.447,49.0
2025-03-16 16:16:10.313,49.0
2025-03-16 16:16:09.166,49.0
2025-03-16 16:16:08.056,49.0
2025-03-16 16:16:06.949,49.0
2025-03-16 16:16:05.807,49.0
2025-03-16 16:16:04.683,49.0
2025-03-16 16:16:03.580,49.0
2025-03-16 16:16:02.458,49.0
2025-03-16 16:16:01.324,49.0
2025-03-16 16:16:00.197,49.0
